axial_position_m,gas_density_kg_per_m3,gas_viscosity_Pa_s,gas_conductivity_W_per_mK,gas_specific_heat_J_per_kgK,gas_prandtl_number
0.32483439,5.535469853087784,3.507590015372532e-05,0.06668748923287973,2873.38898775367,1.5113285324823642
0.32663902549999996,5.55718820010924,3.497988639335142e-05,0.06647890764059156,2873.38898775367,1.5119204560178303
0.328443661,5.579005043035557,3.488407730864337e-05,0.0662708521997714,2873.38898775367,1.5125129715315369
0.3302482965,5.600920381866731,3.478847479179894e-05,0.06606332668622572,2873.38898775367,1.513106066279026
0.33205293199999997,5.622934216602766,3.4693080689309626e-05,0.06585633476979745,2873.38898775367,1.5136997276324187
0.3338575675,5.645046547243659,3.4597896802511424e-05,0.06564988001575205,2873.38898775367,1.5142939430798807
0.335662203,5.667257373789412,3.450292488813404e-05,0.06544396588615772,2873.38898775367,1.5148887002250864
0.3374668385,5.689566696240023,3.4408166658848356e-05,0.06523859574125983,2873.38898775367,1.515483986786663
0.33927147399999996,5.711974514595494,3.431362378381213e-05,0.06503377284084876,2873.38898775367,1.5160797905976355
0.3410761095,5.734480828855824,3.421929788921358e-05,0.06482950034562127,2873.38898775367,1.5166760996048587
