axial_position_m,pre_gas_wall_K,pre_coolant_K,post_gas_wall_K,post_coolant_K
0.281523,612.0411656185508,525.4979116233809,416.78712359443443,273.4092443248242
0.283328,614.2195643672741,528.1707042365323,417.79547256008243,275.01568659045085
0.285132,616.3879358164633,530.8281495705122,418.8102254493237,276.6275772311511
0.286937,618.5487168402058,533.4733098768347,419.83223592179434,278.2462973525689
0.288742,620.7007326898018,536.1048168882878,420.8606810877616,279.8705638149327
0.290546,622.8428342450871,538.7213399872722,421.89472576523457,281.499089447608
0.292351,624.9774309412061,541.3258918018693,422.9352635285205,283.1333096009198
0.294156,627.1033663832901,543.9171261575669,423.98147699752127,284.77196490386945
0.29596,629.2195091864442,546.493733305233,425.0325386124019,286.4137945984096
0.297765,631.3282409892165,549.058677076861,426.08937863628296,288.0602823046572
0.299569,633.4272623385156,551.6092231159529,427.15059619293385,289.70927739200687
0.301374,635.5189415218354,554.1483112595806,428.21714121174466,291.36229042414203
0.303179,637.602148935448,556.674627112317,429.28820858743615,293.01810264596463
0.304983,639.675778035565,559.1868893981853,430.36298638176896,294.6754975385933
0.306788,641.7421691611038,561.6879907702137,431.44245630653313,296.3360251144455
0.308593,643.8002082514563,564.1766355253272,432.5258209612713,297.99849015574614
0.310397,645.8488051213959,566.6515620824291,433.61227700721776,299.66170108124976
0.312202,647.890271878066,569.1156164934919,434.702835037599,301.32724217605846
0.314007,649.9235101830327,571.5675222464807,435.79670537820516,302.99394108455465
0.315811,651.9474447681588,574.0060355431485,436.8930939933968,304.6606307333149
0.317616,653.9643597033444,576.4339570282989,437.9930373890055,306.3289247461511
0.31942,655.9720616567307,578.8486942202863,439.09514214724294,307.9967485081457
0.321225,657.9728210894303,581.2530253702954,440.20045885701256,309.66573245195445
0.32303,659.9655625149219,583.6457014313613,441.3082121594388,311.3347412707027
0.324834,661.9492319942136,586.0255035641399,442.41762448269685,313.0026468921538
0.326639,663.9260723177081,588.3951663811752,443.5297681514113,314.6711021784217
0.328444,665.8950215769706,590.7534573616015,444.64387631174174,316.3389929534527
0.330248,667.8550402109024,593.0991751712108,445.75918065442085,318.0052134105123
0.332053,669.8083432921824,595.4350114045451,446.8767728080395,319.6714348562076
0.333858,671.7538829534636,597.7597508573369,447.99589430920446,321.3365636378212
0.335662,673.6906326940651,600.0722079329662,449.115786375811,322.9995153822902
0.337467,675.6207803500326,602.3750325230315,450.23755754449326,324.6619762180741
0.339271,677.5422291219353,604.6657600394839,451.3598354004284,326.32195279186567
0.341076,679.4571535505395,606.9470197752923,452.4837378770314,327.9811402710272
0.342881,681.3645259934368,609.2176210698401,453.60852103306974,329.63847733632923
0.344685,683.2633390338918,611.4764010085979,454.73344198869506,331.29291296839
0.34649,685.1557406218801,613.7259488545874,455.8596322674218,332.946152136082
0.348295,687.0407146279229,615.9650889509434,456.98635644033,334.59715198658944
0.350099,688.9172668504013,618.1926743249653,458.1128808020452,336.2448809369858
0.351904,690.7875201458058,620.4112547591297,459.24034853044986,337.89105082096233
0.353709,692.6504703910834,622.6196705602471,460.3680326081751,339.5346368923132
0.355513,694.5051351492549,624.816788991879,461.49520848202883,341.1746259914062
0.357318,696.3536097289407,627.0051216910732,462.6230291427141,342.8127343179731
0.359122,698.1938863477744,629.1823208548917,463.75015122386986,344.4470496612689
